Issue key,Issue id,Summary,Priority,Created
SD-70182,1223023,hey team Can you please help me churn this OB record,Normal,21/Nov/25 5:03 AM
SD-70137,1222213,Please create a Payment Opportunity for T and L Power Pros LLC dba Mr Electric of Canton,Normal,20/Nov/25 2:18 PM
SD-70131,1222171,Please close duplicate opportunity for Kahn Air Conditioning Inc,Normal,20/Nov/25 1:57 PM
SD-70083,1221783,Access to SalesForce and Access to Impersonate Users in ST,Normal,20/Nov/25 10:35 AM
SD-70068,1221622,Lost SFDC access,Normal,20/Nov/25 9:44 AM
SD-70022,1220789,The Updated Flip to Live Dashboard in Salesforce isnt active because the owner is deactivated,Normal,19/Nov/25 10:46 PM
SD-70004,1220437,Danna escarraga needs all the salesforce Access for her role as nesting lead,Normal,19/Nov/25 3:38 PM
SD-69968,1219958,need access to changing opp owner in SFDC,Normal,19/Nov/25 11:30 AM
SD-69936,1219745,Salesforce Access Request,Normal,19/Nov/25 9:48 AM
SD-69893,1219302,SalesForce access revoked for my account after my promotion,Normal,19/Nov/25 6:10 AM
SD-69763,1217871,Request to delete an opp,Normal,18/Nov/25 9:22 AM
SD-69730,1217701,Salesforce Access Request for New Hire,Normal,18/Nov/25 8:32 AM
SD-69702,1217514,Please grant RJ Stone with all SalesForce permissions,Normal,18/Nov/25 6:59 AM
SD-69663,1217302,Please provide me access to Salesforce,Normal,18/Nov/25 4:01 AM
SD-69625,1216513,Salesforce Access,Normal,17/Nov/25 2:42 PM
SD-69565,1215927,Please delete the following duplicate record,Normal,17/Nov/25 11:04 AM
SD-69531,1215679,Salesforce access,Normal,17/Nov/25 9:21 AM
SD-69530,1215627,Please create a Payments Opportunity for Clt quality air dba Quality pro Services,Normal,17/Nov/25 9:06 AM
SD-69466,1214457,hey team can I get help churning this Onboarding record,Normal,15/Nov/25 1:32 PM
SD-69438,1213962,Access to Salesforce,Normal,14/Nov/25 2:45 PM
SD-69293,1211826,Kicked out of Salesforce,Normal,13/Nov/25 1:25 PM
SD-69284,1211718,Need opportunity stage in SFDC moved back to Pending Boarding,Normal,13/Nov/25 12:43 PM
SD-69239,1211434,Please Create a Payments Opportunity for Mr Rooter mcgaughymarkw,Normal,13/Nov/25 10:26 AM
SD-69107,1209606,Need accounts to be reassigned in SFDC,Normal,12/Nov/25 12:46 PM
SD-69072,1209363,Please create a Payments Opportunity for TRAGAR FUEL OIL CO INC,Normal,12/Nov/25 10:46 AM
SD-69048,1209167,I need assistance logging into my Salesforce,Normal,12/Nov/25 9:30 AM
SD-69022,1208974,I need help deleting a Salesforce Onboarding record for Allstar Holdings LLC,Normal,12/Nov/25 8:16 AM
